fecha,y
15/12/2008,72.50439532
01/01/2009,72.70068895
15/01/2009,72.81694874
01/02/2009,73.01752617
15/02/2009,73.17702147
01/03/2009,73.37419527
15/03/2009,73.57350261
01/04/2009,73.74273838
15/04/2009,73.82686405
01/05/2009,73.88995625
15/05/2009,73.97316858
01/06/2009,74.07762364
15/06/2009,74.15816393
01/07/2009,74.31252119
15/07/2009,74.37717838
01/08/2009,74.43907702
15/08/2009,74.47934917
01/09/2009,74.70390616
15/09/2009,74.80328661
01/10/2009,74.96939942
15/10/2009,75.02069845
01/11/2009,75.08532368
15/11/2009,75.12048035
01/12/2009,75.38114576
15/12/2009,75.52335348
01/01/2010,75.89452887
15/01/2010,76.14391503
01/02/2010,76.27021329
15/02/2010,76.39634668
01/03/2010,76.52624437
15/03/2010,76.67603287
01/04/2010,76.65356487
15/04/2010,76.71381215
01/05/2010,76.83708083
15/05/2010,76.88791876
01/06/2010,76.91077326
15/06/2010,77.02588099
01/07/2010,77.13363781
15/07/2010,77.12377278
01/08/2010,77.19090407
15/08/2010,77.21589646
01/09/2010,77.47139692
15/09/2010,77.49421883
01/10/2010,77.58626963
15/10/2010,77.6756202
01/11/2010,77.81888506
15/11/2010,77.81100579
01/12/2010,78.0484993
15/12/2010,78.25314707
01/01/2011,78.41626823
15/01/2011,78.59995553
01/02/2011,78.77499844
15/02/2011,78.87317458
01/03/2011,79.0612737
15/03/2011,79.05745118
01/04/2011,79.09788606
15/04/2011,79.14008661
01/05/2011,79.19631633
15/05/2011,79.32339586
01/06/2011,79.35535824
15/06/2011,79.47109234
01/07/2011,79.58459365
15/07/2011,79.59867936
01/08/2011,79.66865837
15/08/2011,79.7053731
01/09/2011,79.87845969
15/09/2011,79.91945738
01/10/2011,80.08225127
15/10/2011,80.12989616
01/11/2011,80.32960987
15/11/2011,80.39955976
01/12/2011,80.67821414
15/12/2011,80.86432369
01/01/2012,81.02332134
15/01/2012,81.24304303
01/02/2012,81.45454173
15/02/2012,81.50181018
01/03/2012,81.63496989
15/03/2012,81.71961907
01/04/2012,81.74247425
15/04/2012,81.85815796
01/05/2012,81.97538326
15/05/2012,82.05977218
01/06/2012,82.14375248
15/06/2012,82.24552951
01/07/2012,82.41403822
15/07/2012,82.48722865
01/08/2012,82.61595994
15/08/2012,82.65530022
01/09/2012,82.75324983
15/09/2012,82.81060364
01/10/2012,82.94957931
15/10/2012,82.99136956
01/11/2012,83.13931857
15/11/2012,82.88744473
01/12/2012,83.10183379
15/12/2012,83.12563967
01/01/2013,83.27281208
15/01/2013,83.66016614
01/02/2013,83.86360084
15/02/2013,83.91891686
01/03/2013,84.13316624
15/03/2013,84.15414169
01/04/2013,84.19687713
15/04/2013,84.2251241
01/05/2013,84.34523957
15/05/2013,84.40928127
01/06/2013,84.469
15/06/2013,84.50212334
01/07/2013,84.53183973
15/07/2013,84.49669203
01/08/2013,84.58517792
15/08/2013,84.59609909
01/09/2013,84.85127339
15/09/2013,84.87803537
01/10/2013,84.99351602
15/10/2013,85.06184986
01/11/2013,85.15671458
15/11/2013,85.12861375
01/12/2013,85.38807167
15/12/2013,85.45536702
01/01/2014,86.04594386
15/01/2014,86.25385439
01/02/2014,86.35607006
15/02/2014,86.42904999
01/03/2014,86.52199321
15/03/2014,86.63424554
01/04/2014,86.86176078
15/04/2014,86.79841294
01/05/2014,86.84674251
15/05/2014,86.9763667
01/06/2014,87.07704084
15/06/2014,87.11546711
01/07/2014,87.23757786
15/07/2014,87.28231807
01/08/2014,87.41060741
15/08/2014,87.47982441
01/09/2014,87.68898143
15/09/2014,87.71385448
01/10/2014,87.81539792
15/10/2014,87.87957359
01/11/2014,87.98980556
15/11/2014,87.9886812
01/12/2014,88.17284767
15/12/2014,88.21414921
01/01/2015,88.13321361
15/01/2015,88.19564284
01/02/2015,88.44198025
15/02/2015,88.48637261
01/03/2015,88.61676072
15/03/2015,88.77556059
01/04/2015,88.79842225
15/04/2015,88.8700983
01/05/2015,88.90023713
15/05/2015,88.9739762
01/06/2015,89.08574173
15/06/2015,89.16014532
01/07/2015,89.24830212
15/07/2015,89.30517544
01/08/2015,89.41378927
15/08/2015,89.4982037
01/09/2015,89.74106199
15/09/2015,89.83446158
01/10/2015,89.97455997
15/10/2015,90.05249095
01/11/2015,90.05434205
15/11/2015,90.03602064
01/12/2015,90.28066696
15/12/2015,90.36070646
01/01/2016,90.43131805
15/01/2016,90.55865534
01/02/2016,90.76338076
15/02/2016,90.87547981
01/03/2016,91.14860514
15/03/2016,91.14089457
01/04/2016,91.27496631
15/04/2016,91.41653717
01/05/2016,91.49217167
15/05/2016,91.58982929
01/06/2016,91.73877619
15/06/2016,91.80891954
01/07/2016,91.91405973
15/07/2016,91.94698709
01/08/2016,92.06749236
15/08/2016,92.14194013
01/09/2016,92.47530315
15/09/2016,92.61149866
01/10/2016,92.76489691
15/10/2016,92.83940094
01/11/2016,93.05495256
15/11/2016,92.96589808
01/12/2016,93.40048192
15/12/2016,93.45019664
01/01/2017,93.79275153
15/01/2017,94.13952241
01/02/2017,94.57520046
15/02/2017,94.79331026
01/03/2017,95.0893502
15/03/2017,95.36368846
01/04/2017,95.61569369
15/04/2017,95.69396396
01/05/2017,95.83889874
15/05/2017,95.99731025
01/06/2017,96.16144717
15/06/2017,96.2586575
01/07/2017,96.43688002
15/07/2017,96.49865973
01/08/2017,96.69048296
15/08/2017,96.73487018
01/09/2017,97.00326385
15/09/2017,96.96797919
01/10/2017,97.16927572
15/10/2017,97.29169247
01/11/2017,97.56355731
15/11/2017,97.56692678
01/12/2017,97.98163521
15/12/2017,97.96638876
01/01/2018,98.13193417
15/01/2018,98.37209385
01/02/2018,98.66494111
15/02/2018,98.79843493
01/03/2018,99.03102439
15/03/2018,99.08368993
01/04/2018,99.15360166
15/04/2018,99.25281098
01/05/2018,99.37921879
15/05/2018,99.53700444
01/06/2018,99.61621127
15/06/2018,99.76044275
01/07/2018,99.94858389
15/07/2018,100
01/08/2018,100.1754281
15/08/2018,100.265259
01/09/2018,100.4547173
15/09/2018,100.6348288
01/10/2018,100.8053898
15/10/2018,100.9078215
01/11/2018,101.1014457
15/11/2018,101.1194401
01/12/2018,101.5458776
15/12/2018,101.6190724
01/01/2019,101.7020737
15/01/2019,101.8675175
01/02/2019,102.1280644
15/02/2019,102.3202809
01/03/2019,102.5033595
15/03/2019,102.6489211
01/04/2019,103.0557493
15/04/2019,103.0308194
01/05/2019,103.1253191
15/05/2019,103.2991774
01/06/2019,103.4694924
15/06/2019,103.5816311
01/07/2019,103.7553053
15/07/2019,103.8335051
01/08/2019,103.9514826
15/08/2019,104.0592888
01/09/2019,104.2538037
15/09/2019,104.3768226
01/10/2019,104.5109302
15/10/2019,104.6331258
01/11/2019,104.7982921
15/11/2019,104.8090243
01/12/2019,105.1910068
15/12/2019,105.276582
01/01/2020,105.4906627
15/01/2020,105.6635348
01/02/2020,105.8919391
15/02/2020,106.0309216
01/03/2020,106.1960163
15/03/2020,106.3488906
01/04/2020,106.562215
15/04/2020,106.745639
01/05/2020,107.0044889
15/05/2020,106.9402912
01/06/2020,107.2556949
15/06/2020,107.4760976
01/07/2020,107.7418367
15/07/2020,107.8401068
01/08/2020,108.0346183
15/08/2020,108.2302894
01/09/2020,108.4089752
15/09/2020,108.5384734
01/10/2020,108.6954781
15/10/2020,108.7714175
01/11/2020,108.6552882
15/11/2020,108.6283744
01/12/2020,109.1948913
15/12/2020,109.2785303
